メディア,本文,アラート
A,求人内容,21.0
A,求人内容,17.0
A,求人内容,12.0
A,求人内容,13.0
A,求人内容,19.0
A,求人内容,29.0
A,求人内容,25.0
A,求人内容,25.0
A,求人内容,6.0
A,求人内容,16.0
A,求人内容,37.0
A,求人内容,9.0
A,求人内容,14.0
A,求人内容,17.0
A,求人内容,16.0
A,求人内容,27.0
A,求人内容,10.0
A,求人内容,15.0
A,求人内容,17.0
A,求人内容,22.0
B,求人内容,15.0
B,求人内容,6.0
B,求人内容,7.0
B,求人内容,12.0
B,求人内容,11.0
B,求人内容,15.0
B,求人内容,8.0
B,求人内容,14.0
B,求人内容,15.0
B,求人内容,7.0
B,求人内容,26.0
B,求人内容,5.0
B,求人内容,9.0
B,求人内容,12.0
B,求人内容,13.0
B,求人内容,12.0
B,求人内容,10.0
B,求人内容,20.0
B,求人内容,10.0
B,求人内容,9.0
C,求人内容,7.0
C,求人内容,12.0
C,求人内容,13.0
C,求人内容,13.0
C,求人内容,11.0
C,求人内容,14.0
C,求人内容,18.0
C,求人内容,18.0
C,求人内容,19.0
C,求人内容,8.0
C,求人内容,9.0
C,求人内容,21.0
C,求人内容,32.0
C,求人内容,38.0
C,求人内容,15.0
C,求人内容,12.0
C,求人内容,12.0
C,求人内容,21.0
C,求人内容,10.0
C,求人内容,12.0
D,求人内容,16.0
D,求人内容,19.0
D,求人内容,18.0
D,求人内容,22.0
D,求人内容,20.0
D,求人内容,27.0
D,求人内容,16.0
D,求人内容,32.0
D,求人内容,23.0
D,求人内容,25.0
D,求人内容,17.0
D,求人内容,11.0
D,求人内容,9.0
D,求人内容,26.0
D,求人内容,9.0
D,求人内容,14.0
D,求人内容,8.0
D,求人内容,19.0
D,求人内容,10.0
D,求人内容,
E,求人内容,15.0
E,求人内容,17.0
E,求人内容,25.0
E,求人内容,24.0
E,求人内容,11.0
E,求人内容,33.0
E,求人内容,10.0
E,求人内容,29.0
E,求人内容,19.0
E,求人内容,14.0
E,求人内容,14.0
E,求人内容,21.0
E,求人内容,17.0
E,求人内容,24.0
E,求人内容,42.0
E,求人内容,15.0
E,求人内容,27.0
E,求人内容,16.0
E,求人内容,22.0
E,求人内容,14.0
